ds,yhat,yhat_lower,yhat_upper
2021-06-14,315170.779278161,247840.3524689919,390128.5842121927
2021-06-15,309647.70058084803,244890.04502110937,381912.5189011283
2021-06-16,304518.2152542463,237060.87318452093,374826.6163184276
2021-06-17,309051.67013441894,242899.90351784357,377315.1952900624
2021-06-18,304684.636274075,238174.50102461665,371602.06006030977
2021-06-19,301985.6277143776,234818.26842497065,372415.8982258213
2021-06-20,308575.10547616653,242836.7969224944,378352.8173615541
2021-06-21,320652.05537879467,249202.81937649104,387729.21517483826
2021-06-22,316325.2732050055,251000.39076097475,381030.4970572345
2021-06-23,312348.32631825184,241862.30353212528,381411.14834329695
2021-06-24,317961.63465863216,250422.66184185346,381202.28838885244
2021-06-25,314573.8323320292,246433.75596237043,377600.12600712007
2021-06-26,312727.3324515974,248765.36663984827,382005.904624353
2021-06-27,320019.13164603175,250099.12459422863,385787.89840854885
2021-06-28,332628.11770142644,258922.94005598355,397369.26553150016
2021-06-29,328646.9907894251,258626.191023226,397367.0862579157
2021-06-30,324817.74711996195,256841.09758797308,389983.1093025709
2021-07-01,330374.15110954887,262380.60873902036,396147.1377845464
2021-07-02,326723.344408577,266420.0269647543,395669.21997967275
2021-07-03,324411.5059497738,259956.40722727877,388807.47931568645
2021-07-04,331044.5955874947,266881.6782803474,403039.44468981336
2021-07-05,342815.4457352487,271735.52091061906,409100.73700599436
2021-07-06,337835.31716914434,270742.52711475757,408768.66571779177
2021-07-07,332868.87816460046,268420.74031078664,403417.7986374554
2021-07-08,337176.04770136357,276507.9841034522,401329.27305198327
2021-07-09,332192.86960299435,265381.5747387678,396045.16072969197
2021-07-10,328496.35362074233,255330.53691374554,396787.2559352146
2021-07-11,333724.3405459028,262177.4527222638,402322.8169140951
2021-07-12,344101.6821964148,275577.90307170217,415037.54200013727
2021-07-13,337770.8800045902,271075.3417218844,406944.0762614915
2021-07-14,331526.16921220225,266195.109818778,399962.3286646589
2021-07-15,334654.5166745926,268737.3319876676,405554.64492572274
2021-07-16,328615.72499700147,259856.50942848762,395871.3868284047
2021-07-17,324006.60264105874,256557.8651195937,390142.3812118618
2021-07-18,328480.2779003419,266081.7650498243,397768.48161156155
2021-07-19,338271.96450115216,267722.3009345681,407636.3263590304
2021-07-20,331529.33576505876,268869.46982317825,401835.32553825626
2021-07-21,325046.5026902405,257323.68942195547,392527.9891113928
2021-07-22,328105.06761425047,261107.77607054787,392398.6306139842
2021-07-23,322154.44487086235,250859.53927497493,386572.7599737859
2021-07-24,317776.40185849287,250621.7729713367,390915.73025236686
2021-07-25,322604.8873090766,258019.456706632,394663.36595113936
2021-07-26,332852.4392760653,259406.26610773092,404805.5304887756
2021-07-27,326641.3101193712,252966.94418153685,393169.2939576168
2021-07-28,320738.28108847234,253541.0233782686,389805.746039511
2021-07-29,324396.6125443037,254390.8125819245,387770.4471622695
2021-07-30,319037.2936682976,248944.75726302646,385784.6752872807
2021-07-31,315214.5163772609,247765.62722574043,384559.0682396449
2021-08-01,320536.4112747533,256034.60589481788,389762.22582985443
2021-08-02,331192.30982026947,268281.801821354,402898.07443917036
2021-08-03,325284.64315226395,256286.46201129124,388918.4210538707
2021-08-04,319564.42564397387,259345.74506072342,386580.6114091727
2021-08-05,323273.7477963784,258097.99376665585,395321.36601942667
2021-08-06,317827.42463795905,251628.7354277671,382291.53597489395
2021-08-07,313778.71099160967,245170.38071930702,379536.14064706676
2021-08-08,318740.1128367852,251958.56471549915,385763.92088159436
2021-08-09,328910.5553940963,261887.92461260187,400925.7809535025
2021-08-10,322407.0199967226,257863.5958522183,393737.57413589326
2021-08-11,315999.60467561625,249683.2108781116,382724.42470954376
2021-08-12,318953.4448020013,245929.7153372739,391046.00088308443
2021-08-13,312709.6565231969,246736.06806716754,380244.95549473073
2021-08-14,307850.2350173542,244711.3080202523,372540.77160749026
2021-08-15,312017.9611149796,246226.89535855557,377507.23990622483
2021-08-16,321442.60412741284,251241.00224899082,389010.388917518
2021-08-17,314271.5622595084,248605.24360719358,380403.7127962847
2021-08-18,307303.9260256856,239781.44220636287,373905.6217760659
2021-08-19,309831.43191969604,240702.83374198165,376704.7343009164
2021-08-20,303318.4992061847,232564.79514779878,368433.32499511703
2021-08-21,298366.3105573,233535.11385664417,369256.4650073589
2021-08-22,302632.01630793425,239178.26829098767,371483.8686363351
2021-08-23,312354.37316402013,244433.9540503007,378985.78247767984
2021-08-24,305683.97777295945,234241.53715208868,372865.355540249
2021-08-25,299417.09503679536,231908.14221694696,366144.6626847666
2021-08-26,302836.5578327273,237059.8709266931,372162.3279312979
2021-08-27,297391.9350481505,230804.0026675374,370592.26046855975
2021-08-28,293663.92714564694,229604.65280678225,362393.75905739417
2021-08-29,299284.0619724583,231081.1821254093,371030.00195513637
2021-08-30,310460.98919667985,242562.32033792828,379269.28851195663
2021-08-31,305311.51625732926,237191.5434460106,371315.63329208095
2021-09-01,300595.36359126016,232294.59985771164,366696.6245034688
2021-09-02,305557.08970600815,237235.12540074417,371716.64864743524
2021-09-03,301607.3536705427,232106.2683946408,365070.1514769122
2021-09-04,299288.44250203454,230504.36307325852,369590.7285916209
2021-09-05,306195.1029737986,236030.38774533,372040.99731381726
2021-09-06,318501.9424654935,255804.96357930033,386709.5576669449
2021-09-07,314295.5085541941,243988.2854710014,386980.57542889623
2021-09-08,310309.99333001283,241733.17097071826,380701.2259824909
2021-09-09,315769.9836786354,250663.73795474414,385459.871080879
2021-09-10,312072.3990858373,244192.50239877118,379636.92301430996
2021-09-11,309752.5225420177,245510.41476632212,382049.1111856873
2021-09-12,316405.1469418833,253680.4775594606,386908.0981222486
2021-09-13,328212.0898795604,259929.67427686928,397723.58273212606
2021-09-14,323274.18047031836,251188.0801106463,388246.7014268699
2021-09-15,318346.6641504863,250971.14707686487,385821.5321169427
2021-09-16,322681.4526699676,251800.12075639341,385570.20182487916
2021-09-17,317708.37271781755,249496.0163487415,384404.8526450374
2021-09-18,314000.33626651485,247642.63430038735,380898.4512588109
2021-09-19,319193.4776992854,246725.64463103595,389473.2115747647
